"No.","Time","Source","Destination","Protocol","Length","Info"
"4408","120.489997","10.2.13.112","54.159.176.36","TCP","1514","56311  >  443 [ACK] Seq=230591 Ack=144766 Win=131072 Len=1448 TSval=2606320165 TSecr=3156989029 [TCP segment of a reassembled PDU]"
"4409","120.489999","10.2.13.112","54.159.176.36","TCP","1514","56311  >  443 [ACK] Seq=232039 Ack=144766 Win=131072 Len=1448 TSval=2606320165 TSecr=3156989029 [TCP segment of a reassembled PDU]"
"4410","120.490000","10.2.13.112","54.159.176.36","TCP","1514","56311  >  443 [ACK] Seq=233487 Ack=144766 Win=131072 Len=1448 TSval=2606320165 TSecr=3156989029 [TCP segment of a reassembled PDU]"
"4411","120.490012","10.2.13.112","54.159.176.36","TLSv1.2","357","Application Data"
"4412","120.500173","54.159.176.36","10.2.13.112","TCP","66","443  >  56338 [ACK] Seq=163017 Ack=257735 Win=457472 Len=0 TSval=3156989038 TSecr=3494448289"
"4413","120.500174","54.159.176.36","10.2.13.112","TCP","66","443  >  56343 [ACK] Seq=649325 Ack=260274 Win=502272 Len=0 TSval=3156989038 TSecr=3974309539"
"4414","120.500175","54.159.176.36","10.2.13.112","TCP","66","443  >  56344 [ACK] Seq=308490 Ack=344312 Win=449024 Len=0 TSval=3156989039 TSecr=2807008950"
"4415","120.502135","54.159.176.36","10.2.13.112","TCP","66","443  >  56311 [ACK] Seq=144766 Ack=235226 Win=502272 Len=0 TSval=3156989040 TSecr=2606320165"
"4416","120.508331","54.159.176.36","10.2.13.112","TCP","1514","443  >  56342 [ACK] Seq=112116 Ack=314283 Win=314112 Len=1448 TSval=3156989046 TSecr=1108495309 [TCP segment of a reassembled PDU]"
"4417","120.508333","54.159.176.36","10.2.13.112","TLSv1.2","177","Application Data"
"4418","120.508425","10.2.13.112","54.159.176.36","TCP","66","56342  >  443 [ACK] Seq=314283 Ack=113675 Win=129472 Len=0 TSval=1108495343 TSecr=3156989046"
"4419","120.509261","10.2.13.112","54.159.176.36","TCP","1514","56342  >  443 [ACK] Seq=314283 Ack=113675 Win=131072 Len=1448 TSval=1108495343 TSecr=3156989046 [TCP segment of a reassembled PDU]"
"4420","120.509263","10.2.13.112","54.159.176.36","TCP","1514","56342  >  443 [ACK] Seq=315731 Ack=113675 Win=131072 Len=1448 TSval=1108495343 TSecr=3156989046 [TCP segment of a reassembled PDU]"
"4421","120.509264","10.2.13.112","54.159.176.36","TCP","1514","56342  >  443 [ACK] Seq=317179 Ack=113675 Win=131072 Len=1448 TSval=1108495343 TSecr=3156989046 [TCP segment of a reassembled PDU]"
"4422","120.509282","10.2.13.112","54.159.176.36","TLSv1.2","357","Application Data"
"4423","120.520443","54.159.176.36","10.2.13.112","TCP","1514","443  >  56344 [ACK] Seq=308490 Ack=344312 Win=449024 Len=1448 TSval=3156989058 TSecr=2807008950 [TCP segment of a reassembled PDU]"
"4424","120.520446","54.159.176.36","10.2.13.112","TLSv1.2","185","Application Data"
"4425","120.520447","54.159.176.36","10.2.13.112","TCP","1514","443  >  56311 [ACK] Seq=144766 Ack=235226 Win=502272 Len=1448 TSval=3156989059 TSecr=2606320165 [TCP segment of a reassembled PDU]"
"4426","120.520448","54.159.176.36","10.2.13.112","TLSv1.2","190","Application Data"
"4427","120.520449","54.159.176.36","10.2.13.112","TCP","66","443  >  56342 [ACK] Seq=113675 Ack=317179 Win=314112 Len=0 TSval=3156989059 TSecr=1108495343"
"4428","120.520449","54.159.176.36","10.2.13.112","TCP","66","443  >  56342 [ACK] Seq=113675 Ack=318918 Win=314112 Len=0 TSval=3156989059 TSecr=1108495343"
"4429","120.520566","10.2.13.112","54.159.176.36","TCP","66","56344  >  443 [ACK] Seq=344312 Ack=310057 Win=161344 Len=0 TSval=2807008982 TSecr=3156989058"
