,param_activation,param_solver,param_alpha,param_hidden_layer_sizes,mean_test_score,std_test_score,rank_test_score
117,identity,adam,0.001,15,0.44015302,0.003167667,1122
144,identity,adam,0.0001,15,0.44015302,0.003167667,1122
171,identity,adam,1.00E-05,15,0.44015302,0.003167667,1122
198,identity,adam,1.00E-06,15,0.44015302,0.003167667,1122
225,identity,adam,1.00E-07,15,0.44015302,0.003167667,1122
252,identity,adam,1.00E-08,15,0.44015302,0.003167667,1122
279,identity,adam,1.00E-09,15,0.44015302,0.003167667,1122
24,identity,adam,10,20,0.440128498,0.021568502,1131
35,identity,sgd,1,14,0.439883273,0.000899676,1132
122,identity,sgd,0.001,16,0.439858751,0.000932497,1133
149,identity,sgd,0.0001,16,0.439858751,0.000932497,1133
176,identity,sgd,1.00E-05,16,0.439858751,0.000932497,1133
203,identity,sgd,1.00E-06,16,0.439858751,0.000932497,1133
230,identity,sgd,1.00E-07,16,0.439858751,0.000932497,1133
257,identity,sgd,1.00E-08,16,0.439858751,0.000932497,1133
284,identity,sgd,1.00E-09,16,0.439858751,0.000932497,1133
57,identity,adam,0.1,13,0.439834228,0.007150379,1140
95,identity,sgd,0.01,16,0.439809706,0.000938924,1141
29,identity,sgd,1,12,0.439785184,0.001625154,1142
68,identity,sgd,0.1,16,0.439785184,0.000944034,1142
56,identity,sgd,0.1,12,0.439638049,0.000523656,1144
83,identity,sgd,0.01,12,0.439638049,0.000491673,1144
110,identity,sgd,0.001,12,0.439638049,0.000491673,1144
137,identity,sgd,0.0001,12,0.439638049,0.000491673,1144
164,identity,sgd,1.00E-05,12,0.439638049,0.000491673,1144
191,identity,sgd,1.00E-06,12,0.439638049,0.000491673,1144
218,identity,sgd,1.00E-07,12,0.439638049,0.000491673,1144
245,identity,sgd,1.00E-08,12,0.439638049,0.000491673,1144
272,identity,sgd,1.00E-09,12,0.439638049,0.000491673,1144
321,logistic,adam,10,20,0.439589004,0.025334241,1153
41,identity,sgd,1,16,0.439539959,0.000661651,1154
32,identity,sgd,1,13,0.439319257,0.000683116,1155
50,identity,sgd,1,19,0.439294735,0.000760591,1156
39,identity,adam,1,16,0.43924569,0.006641278,1157
53,identity,sgd,1,20,0.438926899,0.000642282,1158
38,identity,sgd,1,15,0.438779764,0.000875282,1159
59,identity,sgd,0.1,13,0.437185806,0.002583132,1160
86,identity,sgd,0.01,13,0.437136762,0.002634763,1161
113,identity,sgd,0.001,13,0.437136762,0.002634763,1161
140,identity,sgd,0.0001,13,0.437136762,0.002634763,1161
167,identity,sgd,1.00E-05,13,0.437136762,0.002634763,1161
194,identity,sgd,1.00E-06,13,0.437136762,0.002634763,1161
221,identity,sgd,1.00E-07,13,0.437136762,0.002634763,1161
248,identity,sgd,1.00E-08,13,0.437136762,0.002634763,1161
275,identity,sgd,1.00E-09,13,0.437136762,0.002634763,1161
126,identity,adam,0.001,18,0.437014149,0.004873366,1169
153,identity,adam,0.0001,18,0.437014149,0.004873366,1169
180,identity,adam,1.00E-05,18,0.437014149,0.004873366,1169
207,identity,adam,1.00E-06,18,0.437014149,0.004873366,1169
234,identity,adam,1.00E-07,18,0.437014149,0.004873366,1169
261,identity,adam,1.00E-08,18,0.437014149,0.004873366,1169
288,identity,adam,1.00E-09,18,0.437014149,0.004873366,1169
99,identity,adam,0.01,18,0.436989627,0.004906814,1176
72,identity,adam,0.1,18,0.43671988,0.005290823,1177
45,identity,adam,1,18,0.43529758,0.008199369,1178
84,identity,adam,0.01,13,0.431398514,0.000938283,1179
111,identity,adam,0.001,13,0.431030678,0.001158539,1180
138,identity,adam,0.0001,13,0.431030678,0.001158539,1180
165,identity,adam,1.00E-05,13,0.431030678,0.001158539,1180
192,identity,adam,1.00E-06,13,0.431030678,0.001158539,1180
219,identity,adam,1.00E-07,13,0.431030678,0.001158539,1180
246,identity,adam,1.00E-08,13,0.431030678,0.001158539,1180
273,identity,adam,1.00E-09,13,0.431030678,0.001158539,1180
